,response
314020,0
231957,0
219212,0
229439,0
197579,0
81330,0
41580,0
267977,0
115577,0
215350,0
142424,0
94417,1
94725,0
79208,0
340018,0
348253,1
177584,0
42140,0
353408,1
360737,0
58835,0
335672,1
218481,0
341764,0
19249,0
53096,0
243534,1
216788,0
14769,1
378272,0
147460,0
255013,0
117754,0
204039,0
521,0
10171,0
60977,0
334120,0
344825,0
4395,0
197009,0
101557,0
73213,0
169375,0
8744,0
53223,0
22564,0
102791,0
86327,0
68512,0
106779,0
115839,0
84172,0
123368,0
21940,0
88165,0
240072,0
11258,1
7051,0
155788,0
364072,1
255939,0
288066,0
262006,0
169309,0
370117,0
63143,0
115836,0
329157,0
181010,0
171614,1
363573,0
205697,1
2115,0
123709,0
217867,0
191496,0
335723,0
316148,0
179959,0
100054,0
162554,0
93397,0
308039,1
18141,1
102814,0
362601,0
108552,0
137639,1
54367,0
239876,0
222849,1
141102,0
206653,0
102150,0
47872,0
211628,0
77242,0
278179,0
242143,0
23144,0
62314,0
213425,0
28928,0
95982,0
182085,0
168941,0
158934,0
248611,1
48968,0
59746,0
68709,0
117853,1
213587,0
228965,0
284601,0
81553,0
100078,0
46603,0
215528,0
132521,0
59889,0
209204,0
380872,0
176192,0
115797,0
190625,0
87112,0
11067,0
233272,0
110664,0
168077,0
242021,0
22382,0
289040,0
249603,0
256450,0
44503,0
248635,0
296655,0
79875,0
234647,1
32248,0
192956,0
164858,0
99484,0
23344,0
6049,0
174490,0
250590,0
263299,0
299631,1
343549,0
210210,0
2629,0
342521,1
96003,0
205190,0
330893,0
200794,0
120470,0
214568,0
89216,0
39120,0
198765,0
324315,0
86133,0
76635,0
40208,0
116313,0
330619,0
198099,0
192486,1
196143,1
265978,0
362159,0
336980,0
71318,0
286057,0
254241,0
208256,0
172415,0
123388,0
25809,0
338203,0
290386,0
14295,1
203230,0
194782,0
128834,1
255048,1
380782,0
361207,1
254865,1
259762,0
176301,0
70712,0
229147,0
90434,0
77569,0
247766,0
153585,0
289239,0
345255,0
358277,0
137428,0
28205,0
260475,0
220615,0
275654,0
357743,0
27804,0
316380,0
226230,0
75069,0
52314,0
131333,1
227661,0
43255,0
246995,0
41526,0
376155,1
23465,0
345509,0
293658,0
174188,1
296058,0
268349,0
53977,0
109297,0
354164,0
226425,1
281580,0
107677,0
227930,0
200887,0
173475,0
331107,0
143374,0
183674,0
16241,0
151503,0
305489,0
352008,0
110401,0
14329,0
169432,0
304786,0
209830,0
246277,0
158541,0
269456,0
247050,0
73778,0
305300,0
343466,0
370164,0
30052,0
61420,0
369427,0
106540,0
13730,0
356444,0
242601,0
133366,1
355118,0
116995,0
161610,0
109044,0
68773,0
55604,0
258642,0
217844,0
179278,0
248869,0
156063,0
287985,0
320340,0
236946,0
124889,0
374005,0
51233,0
178773,0
320353,0
20904,0
238539,0
304610,0
45485,0
42547,0
160428,0
8548,0
70331,0
58276,0
349088,0
274320,0
19038,0
119999,0
262806,0
59291,0
353465,0
41617,1
234658,0
56405,0
154923,0
254138,0
151063,0
321370,0
355914,0
78830,0
218118,0
61182,0
250649,0
4846,0
371777,0
308246,0
195124,0
77468,0
44926,0
202148,0
321200,0
306439,1
252540,0
297529,0
151857,0
128058,0
261162,0
67173,0
68561,0
245603,0
78813,0
106432,0
117850,0
181380,0
305944,0
230432,0
139315,0
344084,1
121850,0
104273,0
25295,0
57929,0
160143,0
184868,0
243261,1
252917,0
97340,0
66236,0
47428,0
55335,0
205181,0
313776,0
277982,0
123307,0
302254,1
351956,0
301537,0
226818,0
263054,0
25724,0
14211,0
223936,0
89028,1
207747,0
296948,0
211791,0
203190,0
253264,0
349330,0
36202,0
244166,0
206569,0
157021,0
357740,0
58534,0
329775,0
200108,1
27149,0
24525,0
198803,1
159467,0
163757,0
265156,0
25765,0
192015,0
309708,0
86057,0
345504,0
305281,0
220243,0
211770,0
308788,0
141111,0
149325,0
309446,0
165805,0
36298,0
56120,1
294902,1
320589,0
76573,0
42274,0
358860,0
161443,0
141193,0
303454,0
85174,1
271874,0
363988,1
341891,0
166988,1
279497,1
188033,1
211068,0
303743,0
47491,1
95742,0
85072,1
126426,1
92009,1
294308,1
346486,0
266990,0
124349,0
96054,0
333488,0
369258,0
321367,0
246278,0
123757,0
288723,0
326375,0
115407,0
171209,0
321203,0
184682,0
54562,0
226819,0
70209,0
83705,0
317666,0
348069,0
6117,0
22726,0
313276,0
171544,0
5260,0
131692,0
76037,0
179532,0
256490,0
259682,0
61124,0
336943,0
48596,0
218232,0
320321,0
120135,0
13363,0
294376,0
60222,0
122947,0
243770,0
223901,0
126543,0
93196,0
60227,1
52689,0
197748,0
200448,0
180436,0
155801,0
271690,0
42656,1
130232,0
218660,1
153113,0
88819,0
46441,0
39811,0
114736,0
226816,0
319654,0
304358,0
21687,1
164000,0
320845,1
78155,1
338508,0
72959,0
34210,0
46444,0
275621,0
209485,0
161970,0
370083,0
143953,0
106134,0
12521,0
35057,0
372711,0
139285,0
287965,0
254173,0
158965,0
349344,0
359226,1
6205,0
101606,0
214888,0
142701,0
84178,0
255760,1
26136,0
147347,0
246575,0
123587,0
71768,0
154401,0
163294,0
337102,0
116305,1
107259,0
191244,0
359028,0
226796,1
213853,0
290756,1
88404,0
83441,1
91112,0
199596,0
271416,0
34194,1
20416,0
9989,0
148088,0
281139,1
141698,0
324823,1
58831,0
62478,1
163298,0
160003,0
48674,1
235431,0
218343,1
319564,0
47524,1
234401,0
268815,0
296119,1
292382,0
242104,0
374951,0
49424,0
184964,0
238161,0
306927,0
318378,0
181470,0
371396,0
288525,0
160847,0
337977,0
259313,0
299233,0
140382,0
132056,0
148219,0
269461,0
182634,1
155998,0
132,0
375932,0
321413,0
180972,0
372498,0
313322,0
166207,0
117362,0
336269,0
59482,0
263500,0
58043,1
68814,0
316955,0
164676,0
81426,0
31964,0
67627,0
203153,0
171743,0
18433,0
177210,0
284245,0
285695,0
330637,0
363462,0
42275,0
197361,0
379986,0
227176,0
73664,0
463,0
325719,0
224462,0
68771,0
214584,0
172018,0
375534,0
105322,0
236665,1
263393,1
89993,0
69042,0
10999,1
362966,1
155981,0
88224,0
103827,0
360206,0
58764,1
378706,0
60561,0
331409,0
362499,0
207457,0
149786,0
55876,0
110758,0
37313,0
135966,0
146904,0
206077,0
228406,0
326442,0
124241,0
64861,0
95910,0
172803,1
363888,0
95443,0
123059,0
191011,0
135340,0
234913,0
38717,0
72340,1
354387,0
315718,0
24069,0
376817,1
235241,0
15698,0
93683,0
76029,0
274022,0
93681,0
62621,0
318945,0
284494,0
357016,0
155034,0
97912,0
76763,0
31168,0
2374,0
352918,0
176911,0
116370,0
48913,0
107099,0
190980,0
245884,0
310599,0
10264,1
353479,0
91099,0
331923,0
120094,1
241273,0
63592,0
53649,0
204507,0
209184,0
231125,0
243412,1
160494,0
205396,0
95000,1
210603,0
146618,0
24577,0
35379,0
81554,0
297974,0
6161,1
114782,1
220356,0
283298,0
312085,0
65278,0
124779,0
143984,0
212150,0
187483,0
175815,0
160335,0
15867,1
380694,1
125778,0
271308,0
276131,0
88387,0
252454,0
86146,0
371304,0
71577,0
85722,0
148592,1
101231,0
262011,0
152945,0
221208,0
375003,0
160900,0
89537,0
169697,0
241821,0
98,0
117483,0
293071,1
154219,0
284254,0
217832,0
330844,0
326613,0
305514,0
290891,0
336827,0
308028,0
123927,0
269937,0
40497,0
318334,0
148884,0
93918,0
55710,0
37129,0
347973,0
152702,0
254319,0
186573,0
220287,0
63956,1
225881,0
259736,0
95636,0
56077,0
199422,0
379498,0
236640,0
315073,0
201759,0
95178,0
197076,0
208349,0
340946,0
329292,0
173804,0
200030,0
99566,0
300092,1
267768,0
80494,0
251051,0
49402,0
321834,0
42728,0
138550,0
277785,0
213930,0
334546,0
314971,0
157882,0
263922,0
323199,0
48713,1
265484,0
44686,0
109552,0
3647,0
217291,0
304829,0
87401,0
251478,1
303678,1
272869,0
150311,0
37955,0
245476,0
161273,0
37370,0
147610,0
279509,0
262146,0
30227,0
100738,1
195309,0
240294,0
243621,0
173976,1
73710,0
35260,0
327258,0
32962,0
173984,0
150726,0
289475,1
228529,0
302268,0
141696,0
26495,0
25472,0
124711,0
276977,0
314732,0
178052,0
194967,1
351874,0
185264,0
104577,0
300885,0
362891,0
167722,0
187939,0
25906,0
142256,1
350269,0
320072,0
60049,0
186806,0
13453,0
230237,0
178499,0
122624,0
325392,0
80355,0
247092,0
316635,0
328435,0
34179,1
269193,0
354304,0
217565,0
253556,0
123052,1
116677,1
167948,1
12984,1
85728,0
292397,0
308564,0
236717,1
142463,0
308054,0
306905,0
300707,1
69167,0
229125,0
333330,0
69909,0
277606,0
21387,0
61926,0
179052,0
320946,0
191967,0
243606,0
155240,0
223690,0
222666,1
320717,0
302025,0
350473,0
342546,0
160631,0
356706,1
299512,0
298242,0
305554,0
207299,0
5981,0
78875,1
201798,0
265333,0
29652,0
44927,0
310016,0
154019,1
18075,0
143824,1
243903,1
204798,0
307928,0
102759,1
215570,0
29647,0
108315,0
111669,0
52734,1
155847,0
206429,0
119346,0
245152,0
279137,0
90730,0
17020,0
89734,0
353064,0
157937,0
339099,0
191329,0
264252,0
148895,0
212939,0
59763,0
70884,0
52696,1
94204,0
150633,1
149559,0
156413,0
117308,0
117650,0
46744,0
366463,0
239783,0
101196,0
54419,0
33772,0
241510,0
141436,0
286907,0
297232,0
133803,0
209254,1
193843,1
225574,0
124589,0
246548,0
171742,1
160830,0
222120,0
90678,0
181728,0
371365,0
319068,0
359292,0
56315,0
199345,0
125915,0
64836,0
97639,0
202289,0
354550,0
55978,0
192931,0
13371,0
319576,0
43708,0
134871,0
76287,0
68330,0
355394,0
314824,0
284681,0
138455,0
281256,0
116911,0
366258,0
48666,0
53865,0
333866,0
355454,0
48229,1
223360,0
141768,0
102212,0
258349,0
241355,0
35988,0
236282,0
365415,0
42109,0
216219,0
101818,0
207830,0
192123,0
253670,0
168142,0
175325,1
140838,0
116467,0
349359,0
219308,0
233937,1
370955,0
148406,0
258042,0
21102,1
327642,0
71576,1
115099,0
14689,0
156973,0
378270,1
292980,0
135282,0
64314,0
71412,1
318373,0
19573,0
377313,0
172881,1
276157,0
106664,0
146276,1
376418,0
100136,0
34429,0
356912,0
77491,0
141743,1
359529,0
367446,0
361722,1
187667,0
5115,0
114677,0
258380,0
73372,0
377301,0
157796,0
296677,0
221754,0
269228,0
46693,0
206758,0
125387,1
334962,1
193017,0
171879,0
300473,0
71414,0
176615,0
198622,0
332669,0
377593,0
201768,0
202299,0
379891,0
291133,0
251519,0
133144,0
328913,0
330466,0
370708,0
311569,0
292991,0
233710,0
337873,1
373403,1
52402,0
174615,0
270275,0
103329,1
159523,0
299151,0
324903,0
137094,0
297029,0
53033,0
131852,0
285019,1
203919,0
112100,0
29076,1
284468,0
113739,0
59405,0
68880,0
274832,0
141883,0
74719,1
315316,0
100217,0
304301,1
206788,0
173302,0
44646,0
79621,0
35747,0
83349,0
313977,0
189353,0
185162,0
177438,0
1738,0
51945,0
275990,0
74474,0
283740,0
126963,0
328380,0
72880,0
114764,0
317126,0
372192,0
72249,0
291884,0
200291,0
313412,0
291983,0
323178,0
104121,0
368887,0
23316,0
344050,0
78913,0
19110,0
241734,0
85268,0
351106,0
341904,0
14764,0
345708,0
18745,0
65840,0
26906,0
180027,0
209687,0
151749,0
146359,0
280630,1
362517,0
98209,0
369085,0
150076,0
195265,0
21441,0
20930,1
67592,0
277670,0
64869,0
158979,0
210064,0
312995,0
125492,0
10125,0
3532,0
317389,0
43153,0
250476,0
176916,0
148932,0
353181,0
374264,0
332633,0
220322,0
294965,0
188008,0
246639,0
346910,0
18243,1
333033,0
190203,0
113761,0
257945,0
355021,0
13416,0
243320,0
85634,1
52988,0
46003,0
224322,0
141431,0
57661,0
72193,1
223001,0
312022,0
100168,0
205292,0
275411,0
360908,0
207370,0
35002,0
336306,0
38524,0
297916,0
223384,0
149557,1
